kegg,level_1,level_2,brite_name,BRITE_id,brite_level_1,brite_level_2
K00018,Metabolism,Overview,,,,
K02115,Metabolism,Energy metabolism,,,,
K00019,Metabolism,Carbohydrate metabolism,,,,
K02114,Metabolism,Energy metabolism,,,,
K03032,Genetic Information Processing,"Folding, sorting and degradation",,,,
K03030,Genetic Information Processing,"Folding, sorting and degradation",,,,
K10260,Genetic Information Processing,"Folding, sorting and degradation",,,,
K10268,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K06602,,,Bacterial motility proteins [BR:ko02035],ko02035,Cellular Processes,Cell motility
K06892,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K10738,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K10739,Genetic Information Processing,Replication and repair,,,,
K01989,,,KEGG modules [BR:ko00002],ko00002,,
K01988,Metabolism,Glycan biosynthesis and metabolism,,,,
K00854,Metabolism,Carbohydrate metabolism,,,,
K00855,Metabolism,Overview,,,,
K00856,Metabolism,Nucleotide metabolism,,,,
K00857,Metabolism,Nucleotide metabolism,,,,
K00850,Metabolism,Overview,,,,
K00851,Metabolism,Overview,,,,
K00852,Metabolism,Carbohydrate metabolism,,,,
K00853,Metabolism,Carbohydrate metabolism,,,,
K00858,Metabolism,Metabolism of cofactors and vitamins,,,,
K00859,Metabolism,Metabolism of cofactors and vitamins,,,,
K06608,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K04353,Environmental Information Processing,Signal transduction,,,,
K01180,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K04351,Environmental Information Processing,Signal transduction,,,,
K01182,Metabolism,Carbohydrate metabolism,,,,
K01185,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01184,Metabolism,Carbohydrate metabolism,,,,
K01187,Metabolism,Carbohydrate metabolism,,,,
K01186,Metabolism,Lipid metabolism,,,,
K01189,Metabolism,Carbohydrate metabolism,,,,
K01188,Metabolism,Carbohydrate metabolism,,,,
K15728,Metabolism,Lipid metabolism,,,,
K15238,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K15232,Metabolism,Overview,,,,
K15721,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K15722,,,,unknown,,
K15723,,,,unknown,,
K15724,,,,unknown,,
K15237,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K15726,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K15727,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K13762,Metabolism,Nucleotide metabolism,,,,
K13763,Metabolism,Nucleotide metabolism,,,,
K13761,Metabolism,Nucleotide metabolism,,,,
K13766,Metabolism,Amino acid metabolism,,,,
K13767,Metabolism,Overview,,,,
K13764,Organismal Systems,Sensory system,,,,
K13002,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K02984,Genetic Information Processing,Translation,,,,
K02985,Genetic Information Processing,Translation,,,,
K02986,Genetic Information Processing,Translation,,,,
K08295,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K02636,Metabolism,Energy metabolism,,,,
K08293,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K02982,Genetic Information Processing,Translation,,,,
K08291,Cellular Processes,Transport and catabolism,,,,
K02638,Metabolism,Energy metabolism,,,,
K02639,Metabolism,Energy metabolism,,,,
K02988,Genetic Information Processing,Translation,,,,
K02989,Genetic Information Processing,Translation,,,,
K08298,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K08299,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03583,Genetic Information Processing,Replication and repair,,,,
K03582,Genetic Information Processing,Replication and repair,,,,
K03581,Genetic Information Processing,Replication and repair,,,,
K03580,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03587,Metabolism,Glycan biosynthesis and metabolism,,,,
K03586,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K03585,Human Diseases,Drug resistance,,,,
K03584,Genetic Information Processing,Replication and repair,,,,
K03589,Cellular Processes,Cell growth and death,,,,
K03588,Cellular Processes,Cell growth and death,,,,
K01725,Metabolism,Energy metabolism,,,,
K01724,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01727,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01721,Metabolism,Amino acid metabolism,,,,
K03862,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K03863,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K01729,Metabolism,Carbohydrate metabolism,,,,
K01728,Metabolism,Carbohydrate metabolism,,,,
K09530,Genetic Information Processing,"Folding, sorting and degradation",,,,
K09531,,,Chaperones and folding catalysts [BR:ko03110],ko03110,Genetic Information Processing,"Folding, sorting and degradation"
K09533,,,Spliceosome [BR:ko03041],ko03041,Genetic Information Processing,Transcription
K09534,,,Chaperones and folding catalysts [BR:ko03110],ko03110,Genetic Information Processing,"Folding, sorting and degradation"
K09536,,,Chaperones and folding catalysts [BR:ko03110],ko03110,Genetic Information Processing,"Folding, sorting and degradation"
K14061,,,,unknown,,
K09538,,,Chaperones and folding catalysts [BR:ko03110],ko03110,Genetic Information Processing,"Folding, sorting and degradation"
K09539,,,Chaperones and folding catalysts [BR:ko03110],ko03110,Genetic Information Processing,"Folding, sorting and degradation"
K08120,,,Proteoglycans [BR:ko00535],ko00535,Metabolism,Glycan biosynthesis and metabolism
K05401,Organismal Systems,Immune system,,,,
K08122,Human Diseases,Cancers,,,,
K08123,,,Proteoglycans [BR:ko00535],ko00535,Metabolism,Glycan biosynthesis and metabolism
K05404,Organismal Systems,Immune system,,,,
K02189,Metabolism,Metabolism of cofactors and vitamins,,,,
K08126,,,Proteoglycans [BR:ko00535],ko00535,Metabolism,Glycan biosynthesis and metabolism
K02184,Organismal Systems,Development,,,,
K05409,Environmental Information Processing,Signal transduction,,,,
K02182,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K02183,Environmental Information Processing,Signal transduction,,,,
K13186,,,Spliceosome [BR:ko03041],ko03041,Genetic Information Processing,Transcription
K13184,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13185,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13183,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03769,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03768,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03767,Human Diseases,Drug resistance,,,,
K03766,Metabolism,Glycan biosynthesis and metabolism,,,,
K03765,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03764,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03763,Metabolism,Nucleotide metabolism,,,,
K04799,Genetic Information Processing,Replication and repair,,,,
K03761,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03760,Human Diseases,Drug resistance,,,,
K09457,Metabolism,Metabolism of cofactors and vitamins,,,,
K09456,,,,unknown,,
K09455,Organismal Systems,Endocrine system,,,,
K09454,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K09453,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K09459,Metabolism,Metabolism of other amino acids,,,,
K09458,Metabolism,Overview,,,,
K00602,Metabolism,Nucleotide metabolism,,,,
K13988,Metabolism,Nucleotide metabolism,,,,
K13989,Genetic Information Processing,"Folding, sorting and degradation",,,,
K13987,Metabolism,Nucleotide metabolism,,,,
K13984,Genetic Information Processing,"Folding, sorting and degradation",,,,
K13985,Organismal Systems,Nervous system,,,,
K13982,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13983,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13980,Metabolism,Carbohydrate metabolism,,,,
K13981,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K09981,,,,unknown,,
K09980,,,,unknown,,
K09982,,,,unknown,,
K09985,,,,unknown,,
K09987,,,,unknown,,
K09989,,,,unknown,,
K09988,,,,unknown,,
K12585,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12584,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12586,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12581,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12580,Genetic Information Processing,"Folding, sorting and degradation",,,,
K12583,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K12582,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K12589,Genetic Information Processing,"Folding, sorting and degradation",,,,
K04910,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04916,Organismal Systems,Digestive system,,,,
K11728,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K11729,,,,unknown,,
K11724,,,Protein kinases [BR:ko01001],ko01001,Metabolism,Enzyme families
K11725,Metabolism,Energy metabolism,,,,
K11727,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11720,Environmental Information Processing,Membrane transport,,,,
K11721,,,Protein kinases [BR:ko01001],ko01001,Metabolism,Enzyme families
K11722,,,Protein kinases [BR:ko01001],ko01001,Metabolism,Enzyme families
K09759,Genetic Information Processing,Translation,,,,
K06468,Organismal Systems,Immune system,,,,
K10459,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K10458,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K10455,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K10986,Metabolism,Carbohydrate metabolism,,,,
K10985,Metabolism,Carbohydrate metabolism,,,,
K10984,Metabolism,Carbohydrate metabolism,,,,
K10451,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K10450,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K10981,Genetic Information Processing,Replication and repair,,,,
K10452,,,Ubiquitin system [BR:ko04121],ko04121,Genetic Information Processing,"Folding, sorting and degradation"
K12146,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K07468,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07469,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07464,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07465,,,,unknown,,
K07466,Genetic Information Processing,Replication and repair,,,,
K07467,,,,unknown,,
K07460,,,,unknown,,
K07461,,,,unknown,,
K07462,Genetic Information Processing,Replication and repair,,,,
K07463,,,,unknown,,
K11589,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K11858,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11852,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11853,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11582,Cellular Processes,Cell growth and death,,,,
K11583,Genetic Information Processing,Translation,,,,
K11584,Genetic Information Processing,Translation,,,,
K11857,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11854,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11855,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K10679,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K10678,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K10670,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K10673,,,KEGG modules [BR:ko00002],ko00002,,
K10675,Metabolism,Metabolism of other amino acids,,,,
K10674,Metabolism,Amino acid metabolism,,,,
K10677,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15001,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15003,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15009,Organismal Systems,Nervous system,,,,
K08726,Metabolism,Lipid metabolism,,,,
K08724,Metabolism,Glycan biosynthesis and metabolism,,,,
K08722,Metabolism,Nucleotide metabolism,,,,
K08723,Metabolism,Nucleotide metabolism,,,,
K08720,Human Diseases,Infectious diseases,,,,
K08721,,,KEGG modules [BR:ko00002],ko00002,,
K08728,Metabolism,Nucleotide metabolism,,,,
K08465,,,G protein-coupled receptors [BR:ko04030],ko04030,Environmental Information Processing,Signaling molecules and interaction
K08466,,,G protein-coupled receptors [BR:ko04030],ko04030,Environmental Information Processing,Signaling molecules and interaction
K08461,,,G protein-coupled receptors [BR:ko04030],ko04030,Environmental Information Processing,Signaling molecules and interaction
K08462,,,G protein-coupled receptors [BR:ko04030],ko04030,Environmental Information Processing,Signaling molecules and interaction
K00118,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00449,Metabolism,Overview,,,,
K00448,Metabolism,Overview,,,,
K00446,Metabolism,Overview,,,,
K00117,Metabolism,Carbohydrate metabolism,,,,
K00116,Metabolism,Overview,,,,
K00443,Metabolism,Energy metabolism,,,,
K00442,Metabolism,Energy metabolism,,,,
K10189,Environmental Information Processing,Membrane transport,,,,
K00112,Metabolism,Lipid metabolism,,,,
K01539,Environmental Information Processing,Signal transduction,,,,
K04728,Environmental Information Processing,Signal transduction,,,,
K04729,Environmental Information Processing,Signal transduction,,,,
K01530,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01531,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K04720,Metabolism,Metabolism of cofactors and vitamins,,,,
K01533,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01534,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01535,Metabolism,Energy metabolism,,,,
K01536,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01537,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K14358,,,Peptidases [BR:ko01002],ko01002,Metabolism,Enzyme families
K14606,Metabolism,Metabolism of terpenoids and polyketides,,,,
K14607,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K14352,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K14350,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K14351,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00413,Metabolism,Energy metabolism,,,,
K03972,,,,unknown,,
K03973,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03970,,,Prokaryotic defense system [BR:ko02048],ko02048,Cellular Processes,Transport and catabolism
K03971,,,,unknown,,
K03976,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03977,,,Ribosome biogenesis [BR:ko03009],ko03009,Genetic Information Processing,Translation
K03974,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03975,,,,unknown,,
K03978,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K03979,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K13378,Metabolism,Energy metabolism,,,,
K13370,Metabolism,Lipid metabolism,,,,
K02372,Metabolism,Overview,,,,
K02371,Metabolism,Overview,,,,
K02377,Metabolism,Carbohydrate metabolism,,,,
K02375,Environmental Information Processing,Signal transduction,,,,
K12350,Metabolism,Lipid metabolism,,,,
K12351,Metabolism,Lipid metabolism,,,,
K02379,,,,unknown,,
K12354,Metabolism,Lipid metabolism,,,,
K12355,Metabolism,Biosynthesis of other secondary metabolites,,,,
K12357,Metabolism,Lipid metabolism,,,,
K13519,Metabolism,Lipid metabolism,,,,
K13511,Metabolism,Lipid metabolism,,,,
K13513,Metabolism,Lipid metabolism,,,,
K03394,Metabolism,Metabolism of cofactors and vitamins,,,,
K03395,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03392,Metabolism,Amino acid metabolism,,,,
K03390,Metabolism,Overview,,,,
K03391,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K03399,Metabolism,Metabolism of cofactors and vitamins,,,,
K03020,Metabolism,Nucleotide metabolism,,,,
K03021,Metabolism,Nucleotide metabolism,,,,
K03022,Metabolism,Nucleotide metabolism,,,,
K03023,Metabolism,Nucleotide metabolism,,,,
K03024,Metabolism,Nucleotide metabolism,,,,
K03025,Metabolism,Nucleotide metabolism,,,,
K03027,Metabolism,Nucleotide metabolism,,,,
K03028,Genetic Information Processing,"Folding, sorting and degradation",,,,
K03029,Genetic Information Processing,"Folding, sorting and degradation",,,,
K06233,Environmental Information Processing,Signal transduction,,,,
K12136,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K12137,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K06610,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K06611,Metabolism,Carbohydrate metabolism,,,,
K12138,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K12139,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K06616,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K06617,Metabolism,Carbohydrate metabolism,,,,
K11444,Environmental Information Processing,Signal transduction,,,,
K11447,Human Diseases,Cancers,,,,
K11446,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11117,,,DNA replication proteins [BR:ko03032],ko03032,Genetic Information Processing,Replication and repair
K11440,Metabolism,Amino acid metabolism,,,,
K11443,Environmental Information Processing,Signal transduction,,,,
K11442,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K11119,,,DNA replication proteins [BR:ko03032],ko03032,Genetic Information Processing,Replication and repair
K11118,,,DNA replication proteins [BR:ko03032],ko03032,Genetic Information Processing,Replication and repair
K11449,Human Diseases,Cancers,,,,
K00612,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00613,Metabolism,Amino acid metabolism,,,,
K00610,Metabolism,Nucleotide metabolism,,,,
K00611,Metabolism,Overview,,,,
K00616,Metabolism,Overview,,,,
K00615,Metabolism,Overview,,,,
K00619,Metabolism,Overview,,,,
K06474,Environmental Information Processing,Signaling molecules and interaction,,,,
K06476,Environmental Information Processing,Signal transduction,,,,
K06477,Environmental Information Processing,Signaling molecules and interaction,,,,
K10868,Genetic Information Processing,Replication and repair,,,,
K10869,Genetic Information Processing,Replication and repair,,,,
K10864,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K10865,Genetic Information Processing,Replication and repair,,,,
K10866,Genetic Information Processing,Replication and repair,,,,
K10867,Genetic Information Processing,Replication and repair,,,,
K06478,Environmental Information Processing,Signaling molecules and interaction,,,,
K10862,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K10863,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K04660,Environmental Information Processing,Signal transduction,,,,
K01053,Metabolism,Overview,,,,
K01052,Metabolism,Lipid metabolism,,,,
K05518,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07877,Environmental Information Processing,Signal transduction,,,,
K07875,Human Diseases,Infectious diseases,,,,
K07874,Human Diseases,Infectious diseases,,,,
K07871,,,GTP-binding proteins [BR:ko04031],ko04031,Environmental Information Processing,Signaling molecules and interaction
K07870,Cellular Processes,Cell growth and death,,,,
K07878,,,GTP-binding proteins [BR:ko04031],ko04031,Environmental Information Processing,Signaling molecules and interaction
K04575,Human Diseases,Neurodegenerative diseases,,,,
K04574,Human Diseases,Neurodegenerative diseases,,,,
K10240,Environmental Information Processing,Membrane transport,,,,
K10241,Environmental Information Processing,Membrane transport,,,,
K10242,Environmental Information Processing,Membrane transport,,,,
K10245,Metabolism,Overview,,,,
K10246,Metabolism,Overview,,,,
K14818,,,Ribosome biogenesis [BR:ko03009],ko03009,Genetic Information Processing,Translation
K04110,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K04113,Metabolism,Overview,,,,
K04112,Metabolism,Overview,,,,
K04115,Metabolism,Overview,,,,
K04114,Metabolism,Overview,,,,
K04117,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K04116,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K08076,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K08077,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07705,Environmental Information Processing,Signal transduction,,,,
K07704,Environmental Information Processing,Signal transduction,,,,
K07707,Environmental Information Processing,Signal transduction,,,,
K07706,Environmental Information Processing,Signal transduction,,,,
K07701,Environmental Information Processing,Signal transduction,,,,
K07700,Environmental Information Processing,Signal transduction,,,,
K07703,Environmental Information Processing,Signal transduction,,,,
K07702,Environmental Information Processing,Signal transduction,,,,
K08075,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K07709,Environmental Information Processing,Signal transduction,,,,
K07708,Environmental Information Processing,Signal transduction,,,,
K04127,Metabolism,Biosynthesis of other secondary metabolites,,,,
K15742,Metabolism,Overview,,,,
K15743,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K15216,,,Transcription machinery [BR:ko03021],ko03021,Genetic Information Processing,Transcription
K15741,Metabolism,Overview,,,,
K15746,Metabolism,Metabolism of terpenoids and polyketides,,,,
K15212,,,Transcription machinery [BR:ko03021],ko03021,Genetic Information Processing,Transcription
K15745,Metabolism,Metabolism of terpenoids and polyketides,,,,
K15749,Metabolism,Overview,,,,
K15218,,,Transcription machinery [BR:ko03021],ko03021,Genetic Information Processing,Transcription
K15219,,,Transcription machinery [BR:ko03021],ko03021,Genetic Information Processing,Transcription
K06214,,,Secretion system [BR:ko02044],ko02044,Environmental Information Processing,Membrane transport
K09935,,,,unknown,,
K09936,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K09937,,,,unknown,,
K13748,Metabolism,Glycan biosynthesis and metabolism,,,,
K13749,Organismal Systems,Sensory system,,,,
K13744,Human Diseases,Infectious diseases,,,,
K13745,Metabolism,Amino acid metabolism,,,,
K13746,Metabolism,Amino acid metabolism,,,,
K13747,Metabolism,Amino acid metabolism,,,,
K09931,,,,unknown,,
K09932,,,,unknown,,
K06213,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K02618,Metabolism,Amino acid metabolism,,,,
K02619,Metabolism,Metabolism of cofactors and vitamins,,,,
K02968,Genetic Information Processing,Translation,,,,
K05649,Environmental Information Processing,Membrane transport,,,,
K02966,Genetic Information Processing,Translation,,,,
K02615,Metabolism,Amino acid metabolism,,,,
K05644,Environmental Information Processing,Membrane transport,,,,
K02617,,,,unknown,,
K02962,Genetic Information Processing,Translation,,,,
K02611,Metabolism,Amino acid metabolism,,,,
K02612,Metabolism,Amino acid metabolism,,,,
K02613,Metabolism,Amino acid metabolism,,,,
K07610,Human Diseases,Cardiovascular diseases,,,,
K03569,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K03568,,,Peptidases [BR:ko01002],ko01002,Metabolism,Enzyme families
K03565,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K03564,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K03567,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03566,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03561,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03560,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03563,Environmental Information Processing,Signal transduction,,,,
K03562,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K01709,Metabolism,Carbohydrate metabolism,,,,
K01708,Metabolism,Carbohydrate metabolism,,,,
K01707,Metabolism,Carbohydrate metabolism,,,,
K01706,Metabolism,Carbohydrate metabolism,,,,
K01705,Metabolism,Overview,,,,
K01704,Metabolism,Overview,,,,
K01703,Metabolism,Overview,,,,
K01702,Metabolism,Overview,,,,
K09552,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K09553,Human Diseases,Neurodegenerative diseases,,,,
K13046,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K09554,Environmental Information Processing,Signal transduction,,,,
K09555,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05398,Organismal Systems,Immune system,,,,
K14164,Genetic Information Processing,Translation,,,,
K08148,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K08149,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K14161,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K14160,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K14163,Metabolism,Metabolism of cofactors and vitamins,,,,
K14162,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K08142,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K05391,Organismal Systems,Environmental adaptation,,,,
K08141,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K05394,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K14168,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05396,Metabolism,Amino acid metabolism,,,,
K08145,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K03709,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03708,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K13143,,,Spliceosome [BR:ko03041],ko03041,Genetic Information Processing,Transcription
K03701,Genetic Information Processing,Replication and repair,,,,
K03700,,,DNA repair and recombination proteins [BR:ko03400],ko03400,Genetic Information Processing,Replication and repair
K03703,Genetic Information Processing,Replication and repair,,,,
K03702,Genetic Information Processing,Replication and repair,,,,
K03705,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03704,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K03707,Metabolism,Metabolism of cofactors and vitamins,,,,
K03706,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K13417,Organismal Systems,Environmental adaptation,,,,
K09434,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K09436,Human Diseases,Cancers,,,,
K12838,Genetic Information Processing,Transcription,,,,
K12835,Genetic Information Processing,Transcription,,,,
K12834,Genetic Information Processing,Transcription,,,,
K12837,Genetic Information Processing,Transcription,,,,
K12836,Genetic Information Processing,Transcription,,,,
K12831,Genetic Information Processing,Transcription,,,,
K12830,Genetic Information Processing,Transcription,,,,
K12833,Genetic Information Processing,Transcription,,,,
K06289,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K06288,,,,unknown,,
K06283,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K06282,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K06281,Metabolism,Xenobiotics biodegradation and metabolism,,,,
K06287,,,,unknown,,
K06286,,,Chromosome [BR:ko03036],ko03036,Genetic Information Processing,Replication and repair
K06285,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K06284,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K07138,,,,unknown,,
K04933,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04931,,,Ion channels [BR:ko04040],ko04040,Environmental Information Processing,Signaling molecules and interaction
K04930,Organismal Systems,Nervous system,,,,
K04936,Environmental Information Processing,Signal transduction,,,,
